descripcion,sku
"""Tira flexible 120 LEDs x metro, 2835 SMD, interior""",MLED-120-28.8W-5/LD
Cable con clavija para manguera de LED 5050 SMD,MLED-1-5050SMD
Cable con clavija para manguera de LED SMD,MLED-1-SMD
Manguera redonda de LED 2 hilos 25m 127V IP65 Amarillo,MLED2-25/AM
Manguera redonda de LED 2 hilos 25m 127V IP65 Azul,MLED2-25/AZ
Manguera redonda de LED 2 hilos 25m 127V IP65 Blanco Cálido,MLED2-25/BC
Manguera redonda de LED 2 hilos 25m 127V IP65 Luz de Día,MLED2-25/LD
Conector esquina 25 cm. para manguera de LED 5050 SMD 25 cm,MLED-2-5050SMD
Conector medio para manguera de LED 2 hilos,MLED-2H
Cable con clavija para manguera de LED 2 hilos,MLED-2H-1/25
Conector en T,MLED-2H-2/25
Conector en X,MLED-2H-3/25
Conector en L,MLED-2H-4/25
Clip plástico de montaje para manguera de LED 2 hilos,MLED-2H-5/25
Tapa fin plástica para manguera de LED 2 hilos,MLED-2H-6/25
Tubo termocotractil,MLED-2H-7/25
Extension 1.5 metros con conectores,MLED-2H-8/25
Conector esquina 25 cm. para manguera de LED 3528 SMD,MLED-2-SMD
Conector medio para manguera de LED 5050 SMD,MLED-3-5050SMD
"""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",MLED-3528SMD-127V/BC
"""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",MLED-3528SMD-127V/LD
"""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 10 m""",MLED-3528SMD-127V-10M/BC
"""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 10 m""",MLED-3528SMD-127V-10M/LD
Conector medio para manguera de LED SMD,MLED-3-SMD
Conector en L para manguera de LED 3528 SMD (únicamente para cuadros),MLED-4-SMD
"""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",MLED-5050SMD-127V/2500K
"""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",MLED-5050SMD-127V/BC
"""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",MLED-5050SMD-127V/LD
"""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 10 m""",MLED-5050SMD-127V-10M/BC
"""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 10 m""",MLED-5050SMD-127V-10M/LD
Clip plástico de montaje para manguera de LED 5050 SMD,MLED-5-5050SMD
"Manguera flexible 120 LEDs x metro, 2835 SMD, exterior 5 m",MLED-5M-CCT-127V
"Manguera flexible 30 LEDs x metro, 5050 SMD,  exterior 5 m",MLED-5M-RGB-127V
Clip plástico de montaje para manguera de LED SMD,MLED-5-SMD
Cable c/doble conector de presión para tiras 3528 SMD,MLED-60-1
Cable c/doble conector de presión para tiras 2835 SMD,MLED-60-1-2835
"""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",MLED-60-14.4W-5050/AZ
"""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",MLED-60-14.4W-5050/BC
